,Real,Predito
764,9095.068250000006,8909.697757027503
887,5272.175799999998,5075.068272233625
890,29330.983150000004,28274.141727593713
1293,9301.893549999995,9763.100190708774
259,33750.29179999998,34616.12231985478
1312,4536.259000000001,8036.112192748856
899,2117.3388499999996,2183.1804820542866
752,14210.535949999989,14492.17996546008
1286,3732.625099999999,4599.49644821772
707,10264.442099999997,11008.765911237551
780,18259.215999999997,19388.33014294381
567,7256.723099999995,7250.230429641726
76,3947.4131000000025,4414.262011416374
265,46151.12450000001,45549.16355553294
901,48673.55880000001,48287.49938594609
893,44202.65359999997,45264.126438367246
650,9800.888200000003,9836.214965560635
615,42969.85269999999,43191.57901830995
538,8233.097499999994,8597.79438087489
916,21774.322150000007,23760.389977812913
413,5080.095999999998,6743.74006263597
598,7441.501000000005,9384.122136400303
513,1256.299,1338.1451288176477
78,2755.0209499999996,2217.750524142881
1135,11085.586799999994,11680.501140625176
561,10923.933199999994,11156.126727674511
904,12644.589000000007,13074.197737294475
429,18804.7524,6241.838662913033
275,9715.840999999995,9995.984374787475
808,1131.5066000000002,1529.8543506519552
1253,15828.821730000012,7837.644035882121
765,11842.623750000006,11766.086500156522
700,2020.5523000000007,2758.372177089045
1119,5693.4305,5215.273627615002
1108,2904.0880000000006,3463.8204210014374
777,7448.4039500000035,10206.083366816127
363,2597.7790000000005,2522.7654381136704
1263,7337.748,7782.738168251815
1176,23887.6627,23819.520939888418
49,38709.176,39473.162500211474
32,4687.796999999996,4731.267357299151
506,2643.268500000001,3118.6564486389307
945,11674.130000000006,11815.499224367059
1015,12124.992400000006,15100.868953746816
346,4889.999500000002,5563.954909965272
233,12333.827999999998,13819.155105596628
51,3579.8287,10817.3654488754
869,4391.651999999996,6949.4612909933
312,42124.51529999998,41830.11212368647
237,4463.205099999999,6326.549333570958
542,13887.204000000002,14129.749340602522
270,1719.4363,2289.5003306674753
806,28476.73499000002,6769.602894673997
1296,1708.9257500000006,1702.5673177237159
1228,10594.225700000008,12533.421376144277
925,25333.332840000014,10232.452879534743
101,3645.089399999999,3225.991805099293
298,38746.355100000015,44069.90684219389
798,11848.140999999992,12311.847542879184
221,10564.884500000004,12404.143963687606
208,13880.948999999993,13814.572265126444
572,4753.636799999998,5372.447072350404
770,27941.287579999993,19771.740408841863
367,8017.061150000003,7402.757732642767
1098,23045.56615999998,10611.251712715033
63,4133.641650000003,5080.239092545278
494,17942.10599999999,17687.989614142272
289,25992.821039999988,13790.99431387114
1048,3594.1708499999986,5434.893167263305
888,1682.5969999999995,2570.396114654324
44,6079.6715,6443.1794038196
394,9411.004999999996,9066.336894713153
1280,8283.680699999997,10141.884952242057
1143,6338.075599999995,10704.452751823157
239,7152.6714000000065,8283.436837553421
979,4889.036799999999,4848.663587292704
906,4846.920149999999,6151.304276969792
447,11454.021499999999,12846.946044270979
303,4349.462000000004,5030.75906615292
1246,9101.798000000008,9449.664097313136
374,1391.5287000000003,1992.3128564239062
1321,28101.333050000023,27779.86867663399
163,5152.133999999996,5766.899154899349
240,38511.6283,37483.46957019217
1047,44501.39820000004,40572.75418380018
254,41097.16174999996,41825.506785576734
670,4837.582300000003,5142.49084879611
849,10601.632250000006,12018.483209359778
712,8310.839150000007,10235.525136630638
721,11264.540999999992,13650.891623267524
462,15230.324049999992,16752.98884236835
664,27037.91410000001,26456.3793198751
818,23401.305750000014,27034.781481514838
755,5031.269549999995,5110.690855547276
1118,38282.74950000001,43212.83993263456
1309,6875.961000000006,7328.432103964566
885,19719.694699999993,20347.500496092092
614,1880.0699999999993,2373.1273543478037
1314,18765.87545,17535.009040833364
838,6402.291349999998,9384.552905780169
952,4527.182949999999,4553.8004309844
65,1743.2140000000006,1836.429338157974
594,5709.164399999994,5950.082974995546
678,12363.547000000006,13523.223506193573
868,13129.603450000004,13463.189450992886
710,1727.5400000000002,3560.1878241171544
184,7731.427099999997,10053.62951734017
793,21195.818000000014,23308.636974228848
1212,1702.4552999999994,1696.916747565413
58,23244.790200000003,23608.068631706068
430,23082.95533000001,1283.2069300488183
930,2927.064700000001,3293.523547092191
1192,13019.16105000001,12441.624345909408
23,37701.876800000005,38932.733278803506
365,9778.347200000002,9622.72241666005
210,1980.0700000000002,2869.8757400924596
115,30259.995560000014,12816.170148627378
1171,22478.59999999999,24682.890288379956
43,6313.759000000004,7092.860397882661
881,2789.057399999999,6085.593293217696
597,5594.845500000002,7087.485102384434
774,7261.740999999996,8914.10235104809
405,11396.900199999996,14305.632582073536
247,1986.9334000000006,2053.076383066639
832,4719.736550000004,6779.851511357645
309,7749.1564000000035,7393.140010158823
415,7345.726599999994,11731.505726970747
1052,9288.026699999999,9850.132795098512
654,12244.530999999999,14781.050458189471
358,1837.2818999999995,3370.319044505071
551,3972.924700000002,4035.6954983965347
778,5934.379800000002,6342.387681756802
1127,5836.520400000005,6398.453690852481
81,7935.2911500000055,10067.904864244221
196,5649.715,6092.48450312682
1209,12347.17200000001,23184.936099863473
353,12404.8791,4727.477632632979
461,22144.032000000014,35824.99291280759
629,42983.45849999999,46965.23950778469
850,37270.15120000004,38555.36010751259
999,5267.818150000003,5152.738639133886
522,9866.304849999999,10671.829822003328
974,2322.6217999999994,2605.5228391905175
599,33471.97189,16409.441458742363
192,2137.6536,2643.099286846506
617,23306.547000000013,24253.56790311145
1298,5261.46945,6242.635111373224
570,3761.291999999998,4377.960657354295
1256,11436.738150000008,11504.050384013875
361,4751.0700000000015,5202.271962342628
1122,46661.44240000003,50028.49402596874
875,2690.1137999999996,5184.283084826744
781,1146.7966,1482.345850124792
1249,37607.52769999999,41153.54610677769
566,6373.557350000002,6048.895499131728
988,4518.826250000004,4352.234971532368
894,13555.004899999993,13431.53293341241
610,8547.691300000004,9949.40353048254
618,34439.85589999998,35772.16123534629
422,39125.33225000001,39736.867105239646
56,13607.368749999989,13381.739566225675
1299,2710.8285499999997,3038.713034893569
398,14988.432000000004,19801.288568561376
1114,2396.0959000000007,2415.0683295646263
1092,3591.4800000000005,4763.191208048309
1227,7162.012200000005,8418.255066190171
175,48824.44999999997,48367.15223359609
86,43578.93939999998,44314.696148269184
123,39556.49450000002,40161.237650800584
1182,2632.9919999999997,7284.355715241582
622,9182.169999999998,10927.163178821267
931,6238.298000000001,6455.416595741458
1067,5757.413449999995,6359.2008544575765
1324,4239.8926500000025,4615.036740134933
1175,2154.361000000001,2126.2044059589875
297,21978.676899999984,23120.070076273914
296,16297.846000000007,16972.14790775451
534,13831.11519999999,14298.713000933381
128,32734.18629999999,16492.494378426
350,11830.607200000004,11735.277567635501
244,29523.165600000015,27963.36758158236
428,3167.455850000002,3067.3888046544234
591,8428.069299999996,9416.899310512019
220,5012.470999999998,6429.348480273113
788,5209.57885,5306.1272687063065
174,2855.4375500000006,3038.5352962287543
291,20277.807510000006,4535.028599918608
352,3554.2029999999995,4392.356488784294
1024,8569.861800000002,10278.376699264805
1055,10594.50155000001,12231.418344603611
817,3597.5960000000027,4063.128635767147
427,7323.734818999999,3367.0127777969524
792,2731.9122,2479.7460540812513
29,38711.00000000003,46179.658286631544
1322,12981.34569999999,13124.366397347998
605,9283.562000000005,10095.389752078101
636,2709.1119,3016.3965665926203
1073,12096.651200000008,12932.97435586668
31,2198.1898499999998,2280.321989040263
351,8932.084000000004,10978.450367294987
1137,3176.2877000000026,3307.5058169655267
331,24393.622399999997,24373.383865017277
796,4266.165800000001,5646.7267293961595
1039,22493.659639999998,7685.215449261458
261,17085.2676,18657.424785960386
70,16577.779500000008,18954.024605656075
744,8827.209899999993,11128.778952200108
1242,4296.271200000003,6117.5508260514225
976,7804.160499999996,9146.28437172408
1302,3208.7869999999975,4232.502063569012
552,12957.11800000001,13566.571493329157
661,22192.43710999999,12338.853241445584
286,9432.925300000003,9009.30866767732
1274,17043.341399999998,19417.436909190565
1221,6593.508300000005,8814.580099030829
1032,4137.5226999999995,3887.7551266987084
585,4779.602299999999,4922.627091704567
231,14001.2867,14425.178179395645
48,12629.896699999994,15418.85745262131
919,5245.226899999996,5262.311284561248
113,2404.733800000001,2218.7133306765672
155,6948.700799999997,9641.34499609249
660,6435.623700000006,7130.464961813136
665,42560.43039999998,45309.52984700649
1202,2055.3249000000005,2071.61593478312
1078,34672.1472,37644.58847650514
1316,1731.6769999999992,1758.060093587992
581,1639.5631000000003,1648.6457152797295
1327,9377.9047,9716.339008186587
344,10977.20629999999,10716.111921650247
478,1534.3045000000002,1992.4150061423704
198,9644.252500000008,10012.364461480092
1167,4529.477000000002,6260.162111964257
1303,37829.7242,25719.345979140347
1133,9991.03765,10640.961988745392
903,8125.784500000005,8565.771714032015
107,3877.3042500000033,4777.881000435107
1149,5979.731000000005,6711.9143348249045
